## 医生信息（格式为:姓名|科室|擅长）
邵明|神经康复科|帕金森病的专家，擅长帕金森病、原发性震颤、扭转痉挛等运动障碍疾病的内科治疗与脑深部电极植入(DBS)手术治疗，在应用无创神经调控技术促进脑卒中、脊髓损伤康复及植物人促醒方面拥有丰富经验，并精通头痛，眩晕、睡眠障碍等神经系统疾病的诊治。

韩开宝|胸外科|擅长肺结节 (GGO、GGN) 的鉴别诊断 (良性结节、癌前病变AAH、原位癌AIS、微漫润癌MIA)、胸部微创手术，特别是微创单孔胸腔镜解剖性肺段、亚段切除、联合肺亚段切除、袖状肺叶切除、气管支气管成形术，食管癌、贲门癌、纵隔肿瘤的诊断和胸腔镜、纵隔镜及腹腔镜联合微创手术治疗，手汗症及癌性上腹痛的超微创手术治疗，高龄肿瘤病人术后复发性癌、放化疗后复发恶性肿瘤病人的手术。

涂远荣|胸外科|中国手汗症微创治疗首席专家，有20来年勇微创手术治疗手汗症，头（面）汗症，脸红症近万例的手术经验，手术疗效达100％，在国内外居领先地位，被学术界誉为中国手汗症第一人，深受广大手汗症患友好评与首选。

杨清杰|胸外科|擅长肺、食管、纵隔、肋骨、手汗症等胸外科疾病的诊疗，和以手术为主导的中晚期肺肿瘤、食管肿瘤的综合治疗。尤其在肺结节良恶性鉴别诊断、肺结节精准穿刺、单孔胸腔镜下肺结节微创手术、肺结节冷冻消融、支气管镜下气道肿瘤激光+冷冻消融等肺肿瘤的微创诊疗领域有丰富的经验和研究。

孙晓雁|胸外科|从事胸外科临床工作20年。擅长：1.胸外疾病的微创外科诊疗;2.肺癌、食管癌、纵膈肿瘤等胸部肿瘤外科的综合治;3.胸外急危重症及并发症的处理。

冯新海|胸外科|从事胸腔外科专业30余年，对各类复杂胸腔疾病外科诊疗经验丰富，能够以福利完成器官切除术，非胸腔镜漏斗胸Nuss手术，电视胸腔镜下各类手术；食管癌根治术、肺癌根治术（肺段切除、肺叶切除，袖式切除，全肺切除），剑突下胸腺瘤切除术，手汗症手术，肺减容手术，胸肋骨骨折固定等手术。

陈玲|儿科|擅长小儿癫痫、发育迟缓、抽动症、多动症、周围神经疾病、颅内感染性疾病及肌源性疾病等诊治。

连清荣|儿科|擅长1.小儿呼吸系统疾病诊治，过敏性鼻炎、哮喘的规范诊断、预防和治疗，专于小儿喘息性疾病、慢性咳嗽等诊治;2.小儿气管镜介入治疗。

尹明英|儿科|擅长儿科常见病，多发病的诊断及治疗，如：小儿肺炎，哮喘，毛细支气管炎，腹泻，营养缺乏病，（佝偻病，贫血），心肌炎，先天性心脏病，过敏性紫癜，血小板减少性紫癜，抽动症，多动症，传染性单核细胞增多症，川崎病等。

王礼周|儿科|擅长儿科呼吸系统疾病如慢性咳嗽，鼻炎鼻窦炎，肺炎：消化不良，腹痛，便秘，慢性腹泻及过敏性肠炎，顽固性湿疹等儿科过敏性疾病；对新生儿疾病，黄疸，婴儿肝炎综合征，牛奶蛋白过敏，难治性鹅口疮等候丰富的临床经验。

郭树德|儿科|擅长儿童呼吸系统感染性疾病以及气道高反应性等疾病；消化系统常见的炎症、呕吐、腹泻、消化不良、炎症性肠炎、腹痛、便秘等疾病。多发病的诊断和治疗以及危急重症的抢救等方面，有着丰富的临床经验。

周俊敏|儿科|擅长儿童呼吸、消化常见病，多发病及内分泌疾病(性早熟、矮小、甲状腺疾病等)的治疗。

李盈利|儿科|擅长儿科常见病，多发病及如呼吸道感染，腹泻病等疾病的诊断和治疗。

黄冰清|儿科|擅长儿童常见病综合管理：呼吸道疾病、消化道疾病、泌尿道感染、贫血、疫苗接种评估；感染、传染性疾病精准诊疗：发热查因、传染性单核细胞增多症、巨细胞病毒感染、手足口病、猩红热等；儿童肝病特色专长，黄疸及转氨酶异常诊治、乙肝管理、遗传代谢性肝病诊疗。

林彬城|儿科|擅长|擅长儿童常见病、多发病的防治以及川崎病、肾小球肾炎、过敏性紫癜的规范诊疗；儿童癫痫、抽动障碍、注意缺陷多动障碍（ADHD）、发育迟缓、脑炎及睡眠障碍的评估、诊断与治疗。

张燕林|肾脏内科|擅长血尿、蛋白尿、水肿，疑难、危重肾脏病，慢性肾炎、IgA肾病、肾病综合症、难治性肾脏病诊治、高血压肾病、糖尿病肾病、狼疮性肾炎、血管炎肾损害、急慢性肾衰竭的诊治和血透、腹透治疗。

